RequirementText,_class_
The system shall refresh the display every 60 seconds.,PE
The application shall match the color of the schema set forth by Department of Homeland Security,LF
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
The product shall respond fast to keep up-to-date data in the display.,PE
The look and feel of the system shall conform to the user interface standards of the smart device.,LF
The user interface shall have standard menus buttons for navigation,LF
The system shall have a professional appearance,LF
The product shall have a consistent color scheme and fonts.,LF
The system shall be used by realtors with no training.,US
The system shall be intuitive and self explanatory.,US
The product shall be easy for a realtor to learn.,US
The product shall use symbols and words that are naturally understandable by the realtor community.,US
The product shall produce search results in an acceptable time,PE
The search results shall be returned no later 30 seconds  after the user has entered the search criteria,PE
The product shall generate a CMA report in an acceptable time.,PE
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
The product shall synchronize contacts and appointments in an acceptable time.,PE
The product shall synchronize with the office system every hour.,PE
The product shall be available for use 24 hours per day 365 days  per year,A
Out of 1000 accesses to the system the system is available 999 times.,A
The product shall operate in offline mode whenever internet connection is unavailable.,FT
The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT
The product shall retain user preferences in the event of a failure.,FT
100% of saved user preferences shall be restored when system comes back online.,FT
The product shall be able to support multiple remote users,SC
The product shall be able support 1000 simultaneous users.,SC
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC
The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
90% of untrained realtors shall be able to install the product on their device without printed instructions,US
The product is expected to run on Windows CE and Palm operating systems.,PO
Only registered realtors shall be able to access the system.,SE
Every user of the system shall be authenticated and authorized.,SE
The product shall prevent its data from incorrect data being introduced.,SE
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US
All of the users shall be able to use the system after one day of training.,US
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US
The number of mistakes noted by the students shall be decreased by 50% in the first year.,US
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US
The system shall use symbols and words that are naturally understandable by the user community.,US
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US
Staff members shall be able to complete a set of tasks in a timely manner.,PE
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE
The system shall be available for use between the hours of 8am and 6pm.,A
The system shall achieve 95% up time.,A
system shall be able to handle all of the user requests/usage during business hours.,SC
The system shall cater to 10 simultaneous users from 9am to 5pm.,SC
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O
The system shall operate within the Windows XP Professional operating system.,O
The system shall interface with CampusConnect\92s central server,O
The system shall interface with the faculty central server.,O
The system shall interface with the student master server.,O
We must be able to interface with any HTML browser.,O
Only authorized users shall have access to clinical site information.,SE
Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE
Only authorized users shall have access to students\92 personal information.,SE
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,SE
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE
Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SE
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SE
The system shall protect private information in accordance with the organization\92s information policy.,SE
The system shall be built such that it is as secure as possible from malicious interference.,SE
The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,SE
The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF
All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF
The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,US
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE
The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE
 The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O
The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,O
The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O
The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O
The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O
The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE
Only users with Update access must be able to initiate dispute requests.,SE
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE
All authorized users  once authenticated must be able to logon to the Disputes System,SE
The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.,SE
All additions of new users and modifications to user\92s access shall be recorded on the User Report.,SE
If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE
Only the System Administrator shall be able to reset a revoked user logon account,SE
The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SE
All updates to data files or database must be initiated from the Disputes System.,SE
The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,L
All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
All actions that modify an existing dispute case must be recorded in the case history.,L
The product must support Internet Explorer 5.5 and above.,O
The product must support Mozilla Firefox 1.0 and above.,O
The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O
The product shall run on the existing hardware for all environments.,O
The product shall adhere to the corporate Architecture guidelines,O
The product shall comply with corporate User Interface Guidelines,LF
The product shall comply with corporate color scheme,LF
The appearance of the product shall appear professional,LF
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US
The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,PE
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE
The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,PE
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
The average number of recycled parts records per day shall be 50 000.,SC
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC
For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O
The maintenance of the product will fall within the established corporate maintenance windows.,O
The product shall be supported using the corporate support center.,O
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE
Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,SE
Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SE
One insurance company shall not be able to view another insurance companys claim data.,SE
The product shall free of computer viruses.,SE
The system shall prevent malicious attacks including denial of service.,SE
The product must comply with Sarbanes-Oxley.,L
The product shall comply with the estimatics laws relating to recycled parts usage.,L
The product shall comply with insurance regulations regarding claims processing.,L
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O
The product will function alongside server software on any operating system where the Java runtime can be installed.,O
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O
The product\92s Look and Feel shall be able to incorporate aspects of the customer\92s organization such as logo  branding  and identity,LF
The product shall have a conservative and professional appearance.,LF
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US
The product shall allow the user to select a chosen language from one of the target market countries.,US
The product shall allow for customization of start page and views preferences.,US
An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,US
The product shall use a standard navigation menu familiar to most web users.,US
The product shall allow for intuitive searching of available conference rooms.,US
The product shall conform to the Americans with Disabilities Act.,US
The response shall be fast enough to avoid interrupting the user\92s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,PE
Aside from server failure  the software product shall achieve 99.99% up time.,A
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT
The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,SC
The product shall be expected to operate for at least 5 years for each customer installation.,SC
The product shall be used in office environments.,O
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O
The product must be able to interface with various email servers. The product shall be able to send email.,O
The product shall be available for distribution via the Internet as a binary or ZIP file.,O
The product shall be available for distribution as a packaged CD.,O
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US
The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.,MN
Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
Every registered user will have access to the product\92s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,US
The customer shall be able to easily integrate new building maps with the product throughout the product\92s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,MN
The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,US
The product is expected to integrate with multiple database management systems. The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,O
The product shall be able to be installed in any operating environment within 2 days.,O
The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE
Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,SE
The product shall ensure that the database\92s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,SE
The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems\92 data shall remain 100% uncorrupted each time malicious data is input into the product.,SE
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT
The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC
The product shall be able to display calendar dates and times according to the user\92s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US
The product must be developed with the J2SE/J2EE programming language libraries,O
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE
The System shall allow for a minimum of  6 users to work at the same time.,PE
The System shall utilize currently owned computer equipment.,O
The System shall be able to automatically backup business data and restore them on demand.,O
The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,SE
The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,SE
The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,L
The System shall not require additional third party licenses resulting in royalty fees.,O
Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE
 Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,PE
System shall let customers register on the website as a \93pay as you go\94 user in under 5 minutes.,PE
System shall let customers register on the website as a \93unlimited movie subscriber\94 user in under 10 minutes.,PE
System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE
System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE
System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,PE
System shall let the administrator add/remove categories on the website in under 5 minutes.,PE
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PE
The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,LF
The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,LF
The website design should be modern  clean  and concise.,LF
The product should be able to be used by 90% of novice users on the Internet.,US
Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,US
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,US
An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,US
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,US
The product shall retain the customer\92s buying preferences and information.,US
The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US
The product shall use symbols and words that are naturally understandable by users familiar with websites,US
The website will use standard Internet conventions when interacting with the user.,US
Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,PE
When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,PE
When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user\92s connection.),PE
While streaming a movie  buffering should only occur if there is latency in the user\92s connection.,PE
All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,SE
The website shall be available for use 24 hours per day  365 days per year.,A
The website shall achieve 99.5% up time.,A
All movies shall be streamed on demand  at any time of the day.,A
The website shall continue to operate if the streaming server goes down.,FT
The website shall continue to operate if the payment gateway goes down.,FT
The streaming server will support 50 simultaneous streaming connections.,SC
The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,SC
The server will support a maximum of 1 000 simultaneous users.,SC
The website shall be capable of supporting 100 000 customers.,SC
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MN
All aspects of the website shall be accessed by a web browser over the Internet.,O
The same hardware supporting the current website will be used to support the new system.,O
We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,O
Website must interface with the CyberSource API to process credit card transactions.,O
Website must be fully operational with MSN TV2.,O
Movies shall be encoded and streamed via Windows Media Player 9.0.,O
Movies shall be encoded for 56k and 256k streams.,O
Promotional updates to the website should take a day to update.,MN
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE
Izogn Administrator must be able to add new products to the website within 2 minutes.,PE
The system will provide a 24 hour 800 toll free number for support to its customers.,A
The website will provide a help section with answers and solutions to common problems.,US
Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,A
The product shall be able to be installed in the specified environment within 1 working day.,O
Only registered customers can purchase streaming movies.,SE
A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,SE
Only authorized personnel can access customer records in the database.,SE
Only administrators can activate a pre-paid card.,SE
Only authorized personnel can access sales information.,SE
The website shall prevent its data from being corrupted when incorrect data is entered in.,SE
The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,SE
Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,SE
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,SE
The system shall notify customers of changes to its information policy.,SE
The system shall reveal private information only in compliance with the organization\92s information policy.,SE
All customer information will be stored on a secure database  accessible only to authorized personnel.,SE
All credit card information will be encrypted in the database.,SE
The streaming server will have anti-virus software to prevent infection of malicious viruses.,SE
The website should cater to all tribes in Nigeria.,LF
The website shall not be offensive to religious or ethnic groups.,LF
The website should appeal to all Africans  not only Nigerians.,LF
The website should use Flash to provide animation on the home page.,O
IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,L
The website will comply with W3C standards.,L
The PHP code will comply with PEAR standards.,L
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PE
No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE
For leads that process longer than 25 seconds the system will record the event and duration,PE
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE
The lead washing process will operate within the established physical web service structure.,O
The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,O
Defect reports will be available to technical units on a 24x7 basis.,A
Washing parameters will be updated during scheduled maintenance hours.,MN
The product shall simulate the look of ships at sea.,LF
The product shall display the grids within a circle as a view from a periscope.,LF
The product shall display each type of ship in a grid using an image of the specific type of ship.,LF
When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,LF
